,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.6086,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race",['work']
1,1,0.0,0.5989,"repostapp, reevolutionsg, repost, mtblife, santacruzbicycles, back, weekend, santacruzbicyclessg, bike, us",['bikes']
2,2,0.0,0.8102,"repostapp, reevolutionsg, repost, mtblife, santacruzbicycles, back, weekend, santacruzbicyclessg, bike, us","['quarter', 'skid', 'guard']"
3,3,2.0,0.8423,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['check', 'kid', 'block', 'store']"
4,4,2.0,0.7317,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['men', 'work']"
5,5,2.0,0.7366,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['aprons', 'us']"
6,6,3.0,0.7396,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['shocking', 'friday']"
7,7,2.0,0.9022,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['riders', 'podium', 'santacruzbicycles', 'santacruzbicyclessingapore', 'dirtraction', 'podium', 'santacruzbicycles']"
8,8,3.0,0.9619,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['weekend', 'ready', 'trail', 'santacruzbicyclessg', 'santacruznomad', 'reevolutionsg', 'letsgoriding', 'repost', 'santacruzbicycles', 'repostapp', 'nice', 'shot', 'pete', 'roggeman', 'check', 'nomad', 'long', 'term', 'review', 'http']"
9,9,1.0,0.9684,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['beautiful', 'reevolutionsg', 'santacruzbicyclessg', 'repost', 'santacruzbicycles', 'repostapp', 'real', 'life', 'fantasy', 'check', 'thought', 'process', 'technology', 'behind', 'designing', 'rapid', 'prototyping', 'bike', 'graphics', 'syndicate', 'shown', 'nvidia', 'lenovo', 'http']"
10,10,1.0,0.8672,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['yes', 'official', 'repost', 'santacruzbicycles', 'http']"
11,11,3.0,0.9221,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['santacruzbicyclessg', 'santacruztallboy', 'repost', 'santacruzbicycles', 'tallboy', 'ready', 'roll', 'shot', 'johnprolly']"
12,12,2.0,0.8688,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['minicg', 'house', 'productionprivee', 'cedricgracia', 'reevolutionsg']"
13,13,1.0,0.9342,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['reevolutionsg', 'santacruzbicyclessg', 'santacruzcsantacruzchameleon', 'repost', 'santacruzbicycles', 'nice', 'custom', 'build', 'chameleon', 'stifcycles', 'uk']"
14,14,3.0,0.5171,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['santacruzbicyclessg', 'reevolutionsg', 'repost', 'santacruzbicycles', 'pinkbike', 'awards', 'male', 'gravity', 'racer', 'josh', 'bryceland', 'cheers', 'http', 'photo', 'svenmartinphoto']"
15,15,1.0,0.9603,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['introducing', 'latest', 'downhill', 'bike', 'santacruzbicycles', 'generation', 'features', 'wheels', 'longer', 'front', 'end', 'bump', 'eating', 'travel', 'adjustable', 'geometry', 'santacruzbicyclessg', 'nofilter', 'repost']"
16,16,3.0,0.9696,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'black', 'yellow', 'white', 'medley', 'santacruzbicycles', 'competition', 'carbon', 'envecomposites', 'shimano', 'full', 'spec', 'santacruzbicyclessg', 'santacruzsyndicate', 'irideenve', 'foxracingshox', 'foxracing', 'reevolutionsg', 'xtr', 'wheelbuilding', 'customwheelbuilding', 'customwheelbuild', 'thomson', 'race', 'maxxis']"
17,17,2.0,0.929,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['repost', 'santacruzbicycles', 'nomad', 'looking', 'good', 'way', 'jrs', 'samoens', 'france', 'svenmartinphoto']"
18,18,3.0,0.9279,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['santacruzbronson', 'repost', 'wandemarco', 'weekend', 'pls', 'come', 'fast', 'santacruzbronson', 'santacruz', 'dvosuspension']"
19,19,3.0,0.9019,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['santacruzbicycles', 'bikedemo', 'singaporemtbcarnival', 'dirtraction', 'santacruzbicycles', 'julianabicycles', 'santacruzbicyclessg']"
20,20,3.0,0.9128,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['right', 'right', 'santacruzbicycles', 'bikedemo', 'singaporemtbcarnival', 'julianabicycles', 'santacruzbicyclessg', 'santacruzbicycles']"
21,21,3.0,0.9023,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['explaining', 'bikes', 'specs', 'santacruzbicycles', 'santacruzbicycles', 'santacruzbicyclessg', 'bikedemo']"
22,22,3.0,0.8686,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['ready', 'bikedemo', 'santacruzbicycles', 'santacruzbicycles', 'santacruzbicyclessg']"
23,23,3.0,0.9128,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['setting', 'bike', 'bikedemo', 'santacruzbicycles', 'santacruzbicyclessg', 'santacruzbronson', 'santacruznomad', 'santacruzbicycles']"
24,24,3.0,0.913,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['trying', 'technical', 'demo', 'santacruzbicycles', 'santacruzbicyclessg', 'bikedemo', 'santacruznomad', 'santacruzbicycles']"
25,25,3.0,0.7356,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['santacruzbicycles', 'santacruzbicyclessg']"
26,26,3.0,0.9126,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['ready', 'downhillrace', 'singaporemtbcarnival', 'santacruznomad', 'santacruzbronson', 'santacruzbicycles', 'santacruzbicyclessg', 'santacruzbicycles']"
27,27,3.0,0.9138,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['feeding', 'time', 'singaporemtbcarnival', 'foxracing', 'santacruztallboy', 'santacruzbicyclessg', 'santacruzbicycles', 'tonyherdrich']"
28,28,3.0,0.7425,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'downhillmtb']"
29,29,3.0,0.7425,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'downhillmtb']"
30,30,3.0,0.8704,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'downhillrace', 'santacruzbicycles', 'santacruzbicyclessg', 'williamthewhale']"
31,31,3.0,0.9213,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['super', 'master', 'downhill', 'category', 'guz', 'coming', 'singaporemtbcarnival', 'santacruzbicycles', 'santacruzbicyclessg']"
32,32,3.0,0.8708,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'santacruzbicyclessg', 'reevolutionsg', 'beautifulsunday', 'endswithabang']"
