Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5302722111215092
75% Corpus,2,0.01,0.31,0.5187559665754069
75% Corpus,2,0.01,0.61,0.46796056421873755
75% Corpus,2,0.01,0.9099999999999999,0.5093002733488672
75% Corpus,2,0.01,symmetric,0.5093002733488672
75% Corpus,2,0.31,0.01,0.5104268137839763
75% Corpus,2,0.31,0.31,0.5178033053018443
75% Corpus,2,0.31,0.61,0.5288285179251342
75% Corpus,2,0.31,0.9099999999999999,0.4821054184307165
75% Corpus,2,0.31,symmetric,0.5288285179251342
75% Corpus,2,0.61,0.01,0.5171833065405365
75% Corpus,2,0.61,0.31,0.47638813689884363
75% Corpus,2,0.61,0.61,0.494978008793617
75% Corpus,2,0.61,0.9099999999999999,0.5001332248883594
75% Corpus,2,0.61,symmetric,0.46973454580643226
75% Corpus,2,0.9099999999999999,0.01,0.5337581377118935
75% Corpus,2,0.9099999999999999,0.31,0.48451652666409295
75% Corpus,2,0.9099999999999999,0.61,0.48451652666409306
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.47964308072592615
75% Corpus,2,0.9099999999999999,symmetric,0.484516526664093
75% Corpus,2,symmetric,0.01,0.5171902445528862
75% Corpus,2,symmetric,0.31,0.5112406062283839
75% Corpus,2,symmetric,0.61,0.47059573398052346
75% Corpus,2,symmetric,0.9099999999999999,0.47593853706950234
75% Corpus,2,symmetric,symmetric,0.47059573398052346
75% Corpus,2,asymmetric,0.01,0.620719178289763
75% Corpus,2,asymmetric,0.31,0.5610083740385451
75% Corpus,2,asymmetric,0.61,0.5680804625869702
75% Corpus,2,asymmetric,0.9099999999999999,0.5246504336669823
75% Corpus,2,asymmetric,symmetric,0.5802448950910465
75% Corpus,3,0.01,0.01,0.5470575905498005
75% Corpus,3,0.01,0.31,0.5526180701505461
75% Corpus,3,0.01,0.61,0.5185885911204511
75% Corpus,3,0.01,0.9099999999999999,0.49559805611903823
75% Corpus,3,0.01,symmetric,0.5531055421950662
75% Corpus,3,0.31,0.01,0.49033381702335305
75% Corpus,3,0.31,0.31,0.5117759545196493
75% Corpus,3,0.31,0.61,0.48762537516860843
75% Corpus,3,0.31,0.9099999999999999,0.5055882525897739
75% Corpus,3,0.31,symmetric,0.5117759545196494
75% Corpus,3,0.61,0.01,0.4976451043535921
75% Corpus,3,0.61,0.31,0.48966638633173853
75% Corpus,3,0.61,0.61,0.4759720650840669
75% Corpus,3,0.61,0.9099999999999999,0.49187496583092294
75% Corpus,3,0.61,symmetric,0.49309139333277613
75% Corpus,3,0.9099999999999999,0.01,0.4971703056718388
75% Corpus,3,0.9099999999999999,0.31,0.5146778764233022
75% Corpus,3,0.9099999999999999,0.61,0.4699306325753064
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4804702741781111
75% Corpus,3,0.9099999999999999,symmetric,0.5146778764233021
75% Corpus,3,symmetric,0.01,0.5018266188891501
75% Corpus,3,symmetric,0.31,0.5250658575889077
75% Corpus,3,symmetric,0.61,0.5021069930758177
75% Corpus,3,symmetric,0.9099999999999999,0.5074492189302372
75% Corpus,3,symmetric,symmetric,0.5164845456664936
75% Corpus,3,asymmetric,0.01,0.4943774346971848
75% Corpus,3,asymmetric,0.31,0.5340350019133027
75% Corpus,3,asymmetric,0.61,0.5246048926119125
75% Corpus,3,asymmetric,0.9099999999999999,0.4741008692315649
75% Corpus,3,asymmetric,symmetric,0.5585963261784846
75% Corpus,4,0.01,0.01,0.4928835710154098
75% Corpus,4,0.01,0.31,0.4415133113355572
75% Corpus,4,0.01,0.61,0.48403397050836283
75% Corpus,4,0.01,0.9099999999999999,0.4832264369297032
75% Corpus,4,0.01,symmetric,0.4381782464904975
75% Corpus,4,0.31,0.01,0.460182196441037
75% Corpus,4,0.31,0.31,0.44178609870319935
75% Corpus,4,0.31,0.61,0.4677695876372555
75% Corpus,4,0.31,0.9099999999999999,0.4658075093072118
75% Corpus,4,0.31,symmetric,0.45996545943550593
75% Corpus,4,0.61,0.01,0.47326441161623906
75% Corpus,4,0.61,0.31,0.46542378223031455
75% Corpus,4,0.61,0.61,0.4706647483740339
75% Corpus,4,0.61,0.9099999999999999,0.47147158994931226
75% Corpus,4,0.61,symmetric,0.4764139970183823
75% Corpus,4,0.9099999999999999,0.01,0.5056868890658817
75% Corpus,4,0.9099999999999999,0.31,0.5135720866617831
75% Corpus,4,0.9099999999999999,0.61,0.5059025982417746
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4460129556641812
75% Corpus,4,0.9099999999999999,symmetric,0.5052477478750118
75% Corpus,4,symmetric,0.01,0.44995339696908065
75% Corpus,4,symmetric,0.31,0.45832750500743696
75% Corpus,4,symmetric,0.61,0.44780992948811477
75% Corpus,4,symmetric,0.9099999999999999,0.4530259244750394
75% Corpus,4,symmetric,symmetric,0.45658828738145574
75% Corpus,4,asymmetric,0.01,0.46541734222099373
75% Corpus,4,asymmetric,0.31,0.4701988645038343
75% Corpus,4,asymmetric,0.61,0.43863379459001073
75% Corpus,4,asymmetric,0.9099999999999999,0.4619994837549169
75% Corpus,4,asymmetric,symmetric,0.5088959715918642
75% Corpus,5,0.01,0.01,0.4935363927673686
75% Corpus,5,0.01,0.31,0.5092340630537666
75% Corpus,5,0.01,0.61,0.5135252982366385
75% Corpus,5,0.01,0.9099999999999999,0.4850399081273329
75% Corpus,5,0.01,symmetric,0.5174316458397298
75% Corpus,5,0.31,0.01,0.4924642817224088
75% Corpus,5,0.31,0.31,0.5084435138953252
75% Corpus,5,0.31,0.61,0.509028502940118
75% Corpus,5,0.31,0.9099999999999999,0.5010658970847033
75% Corpus,5,0.31,symmetric,0.5016907530069054
75% Corpus,5,0.61,0.01,0.48739533639718025
75% Corpus,5,0.61,0.31,0.47867202702486866
75% Corpus,5,0.61,0.61,0.47915737018505267
75% Corpus,5,0.61,0.9099999999999999,0.47406417250747823
75% Corpus,5,0.61,symmetric,0.48170141087165985
75% Corpus,5,0.9099999999999999,0.01,0.49057582608559774
75% Corpus,5,0.9099999999999999,0.31,0.49852877622411285
75% Corpus,5,0.9099999999999999,0.61,0.47008982728384296
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4615214926329731
75% Corpus,5,0.9099999999999999,symmetric,0.486902193922805
75% Corpus,5,symmetric,0.01,0.4781093068289112
75% Corpus,5,symmetric,0.31,0.5100802376546001
75% Corpus,5,symmetric,0.61,0.5155182430695111
75% Corpus,5,symmetric,0.9099999999999999,0.49224908334661927
75% Corpus,5,symmetric,symmetric,0.48412059942134017
75% Corpus,5,asymmetric,0.01,0.48731045748230645
75% Corpus,5,asymmetric,0.31,0.5417503592973585
75% Corpus,5,asymmetric,0.61,0.5406630911617236
75% Corpus,5,asymmetric,0.9099999999999999,0.48024051548836494
75% Corpus,5,asymmetric,symmetric,0.5372833022208667
75% Corpus,6,0.01,0.01,0.4782885730232811
75% Corpus,6,0.01,0.31,0.4990369630920605
75% Corpus,6,0.01,0.61,0.519959931135034
75% Corpus,6,0.01,0.9099999999999999,0.5184750725793762
75% Corpus,6,0.01,symmetric,0.4935167197625641
75% Corpus,6,0.31,0.01,0.48489303132680983
75% Corpus,6,0.31,0.31,0.48839225621259913
75% Corpus,6,0.31,0.61,0.4878898929331126
75% Corpus,6,0.31,0.9099999999999999,0.48574858148996447
75% Corpus,6,0.31,symmetric,0.48811376418119345
75% Corpus,6,0.61,0.01,0.4754509647090392
75% Corpus,6,0.61,0.31,0.5040849412576888
75% Corpus,6,0.61,0.61,0.503057174797673
75% Corpus,6,0.61,0.9099999999999999,0.5125539376763756
75% Corpus,6,0.61,symmetric,0.5072117123404095
75% Corpus,6,0.9099999999999999,0.01,0.487914988028234
75% Corpus,6,0.9099999999999999,0.31,0.4974998979555751
75% Corpus,6,0.9099999999999999,0.61,0.45000793019604024
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4422729311829477
75% Corpus,6,0.9099999999999999,symmetric,0.49904306958189243
75% Corpus,6,symmetric,0.01,0.48691118541305095
75% Corpus,6,symmetric,0.31,0.4895665189262682
75% Corpus,6,symmetric,0.61,0.5011613773697888
75% Corpus,6,symmetric,0.9099999999999999,0.5259357997668607
75% Corpus,6,symmetric,symmetric,0.4777872281053996
75% Corpus,6,asymmetric,0.01,0.49628980963171254
75% Corpus,6,asymmetric,0.31,0.5030936548079342
75% Corpus,6,asymmetric,0.61,0.44490756719353364
75% Corpus,6,asymmetric,0.9099999999999999,0.3920218513205826
75% Corpus,6,asymmetric,symmetric,0.507500292301479
75% Corpus,7,0.01,0.01,0.4720914273358339
75% Corpus,7,0.01,0.31,0.46954699161306834
75% Corpus,7,0.01,0.61,0.4673143791862145
75% Corpus,7,0.01,0.9099999999999999,0.4616770468762065
75% Corpus,7,0.01,symmetric,0.5058818226504801
75% Corpus,7,0.31,0.01,0.4877770260654849
75% Corpus,7,0.31,0.31,0.496890396865671
75% Corpus,7,0.31,0.61,0.46556002596511253
75% Corpus,7,0.31,0.9099999999999999,0.4705967846707578
75% Corpus,7,0.31,symmetric,0.493913815770148
75% Corpus,7,0.61,0.01,0.47561472326980764
75% Corpus,7,0.61,0.31,0.494683012170506
75% Corpus,7,0.61,0.61,0.506440992640677
75% Corpus,7,0.61,0.9099999999999999,0.4833129096812679
75% Corpus,7,0.61,symmetric,0.4991853303509373
75% Corpus,7,0.9099999999999999,0.01,0.48470058894536255
75% Corpus,7,0.9099999999999999,0.31,0.49142274802318836
75% Corpus,7,0.9099999999999999,0.61,0.44104354265666107
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.43852148084865983
75% Corpus,7,0.9099999999999999,symmetric,0.509999154480271
75% Corpus,7,symmetric,0.01,0.4646194871639908
75% Corpus,7,symmetric,0.31,0.4810372057719273
75% Corpus,7,symmetric,0.61,0.47573434623749045
75% Corpus,7,symmetric,0.9099999999999999,0.45288002986830683
75% Corpus,7,symmetric,symmetric,0.4766265871016783
75% Corpus,7,asymmetric,0.01,0.47843728032241783
75% Corpus,7,asymmetric,0.31,0.4727053967597929
75% Corpus,7,asymmetric,0.61,0.45731539128514315
75% Corpus,7,asymmetric,0.9099999999999999,0.39414034568483997
75% Corpus,7,asymmetric,symmetric,0.4784953388876095
75% Corpus,8,0.01,0.01,0.512209399234905
75% Corpus,8,0.01,0.31,0.4863818086897793
75% Corpus,8,0.01,0.61,0.48123777405048235
75% Corpus,8,0.01,0.9099999999999999,0.4869044072315233
75% Corpus,8,0.01,symmetric,0.509642593795685
75% Corpus,8,0.31,0.01,0.497429164659704
75% Corpus,8,0.31,0.31,0.4875412747324024
75% Corpus,8,0.31,0.61,0.48444257418280656
75% Corpus,8,0.31,0.9099999999999999,0.46018029831806917
75% Corpus,8,0.31,symmetric,0.48543683324908515
75% Corpus,8,0.61,0.01,0.5093219760214514
75% Corpus,8,0.61,0.31,0.5049651919064185
75% Corpus,8,0.61,0.61,0.49598183112974836
75% Corpus,8,0.61,0.9099999999999999,0.44835502939467564
75% Corpus,8,0.61,symmetric,0.4983774583518318
75% Corpus,8,0.9099999999999999,0.01,0.5067151790618535
75% Corpus,8,0.9099999999999999,0.31,0.48360919804263486
75% Corpus,8,0.9099999999999999,0.61,0.41964916241789885
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4401163132027745
75% Corpus,8,0.9099999999999999,symmetric,0.5017306376758381
75% Corpus,8,symmetric,0.01,0.5064625238468737
75% Corpus,8,symmetric,0.31,0.5062509488548801
75% Corpus,8,symmetric,0.61,0.4969903335684543
75% Corpus,8,symmetric,0.9099999999999999,0.48823403417056344
75% Corpus,8,symmetric,symmetric,0.5164667583645752
75% Corpus,8,asymmetric,0.01,0.4815553928830373
75% Corpus,8,asymmetric,0.31,0.4113734801445213
75% Corpus,8,asymmetric,0.61,0.4412004034478606
75% Corpus,8,asymmetric,0.9099999999999999,0.4143655529785959
75% Corpus,8,asymmetric,symmetric,0.4667298637566379
75% Corpus,9,0.01,0.01,0.46786787279100345
75% Corpus,9,0.01,0.31,0.49528391059475063
75% Corpus,9,0.01,0.61,0.47219348598319905
75% Corpus,9,0.01,0.9099999999999999,0.4650977870533133
75% Corpus,9,0.01,symmetric,0.4826698287517897
75% Corpus,9,0.31,0.01,0.5026246800119358
75% Corpus,9,0.31,0.31,0.4526124308528602
75% Corpus,9,0.31,0.61,0.4529038713889115
75% Corpus,9,0.31,0.9099999999999999,0.4674228968155823
75% Corpus,9,0.31,symmetric,0.48946333363956956
75% Corpus,9,0.61,0.01,0.5075574933644222
