Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,2,0.01,0.01,0.497445761,14.20295294,,topics,score
100% Corpus,2,0.01,0.31,0.501304897,0.473431765,,2,0.473431765
100% Corpus,2,0.01,0.61,0.48574063,,,3,0.460386145
100% Corpus,2,0.01,0.91,0.477069521,,,4,0.462067656
100% Corpus,2,0.01,symmetric,0.488964779,,,5,0.47670234
100% Corpus,2,0.31,0.01,0.452826118,,,6,0.482459031
100% Corpus,2,0.31,0.31,0.448519405,,,7,0.461522888
100% Corpus,2,0.31,0.61,0.448519405,,,8,0.46565876
100% Corpus,2,0.31,0.91,0.459647837,,,9,0.460889152
100% Corpus,2,0.31,symmetric,0.448519405,,,10,0.454893285
100% Corpus,2,0.61,0.01,0.469959128,,,,
100% Corpus,2,0.61,0.31,0.452977118,,,,
100% Corpus,2,0.61,0.61,0.452977118,,,,
100% Corpus,2,0.61,0.91,0.443445394,,,,
100% Corpus,2,0.61,symmetric,0.452977118,,,,
100% Corpus,2,0.91,0.01,0.470841529,,,,
100% Corpus,2,0.91,0.31,0.457085637,,,,
100% Corpus,2,0.91,0.61,0.466161483,,,,
100% Corpus,2,0.91,0.91,0.456960799,,,,
100% Corpus,2,0.91,symmetric,0.466161483,,,,
100% Corpus,2,symmetric,0.01,0.469959128,,,,
100% Corpus,2,symmetric,0.31,0.458578665,,,,
100% Corpus,2,symmetric,0.61,0.452977118,,,,
100% Corpus,2,symmetric,0.91,0.452977118,,,,
100% Corpus,2,symmetric,symmetric,0.452977118,,,,
100% Corpus,2,asymmetric,0.01,0.525618003,,,,
100% Corpus,2,asymmetric,0.31,0.549416863,,,,
100% Corpus,2,asymmetric,0.61,0.521975621,,,,
100% Corpus,2,asymmetric,0.91,0.486060661,,,,
100% Corpus,2,asymmetric,symmetric,0.534308078,,,,
100% Corpus,3,0.01,0.01,0.439695743,13.81158434,,,
100% Corpus,3,0.01,0.31,0.476770006,0.460386145,,,
100% Corpus,3,0.01,0.61,0.506310734,,,,
100% Corpus,3,0.01,0.91,0.498835234,,,,
100% Corpus,3,0.01,symmetric,0.486474514,,,,
100% Corpus,3,0.31,0.01,0.450314249,,,,
100% Corpus,3,0.31,0.31,0.453328669,,,,
100% Corpus,3,0.31,0.61,0.45085643,,,,
100% Corpus,3,0.31,0.91,0.42637275,,,,
100% Corpus,3,0.31,symmetric,0.451944331,,,,
100% Corpus,3,0.61,0.01,0.445222665,,,,
100% Corpus,3,0.61,0.31,0.433297114,,,,
100% Corpus,3,0.61,0.61,0.444156117,,,,
100% Corpus,3,0.61,0.91,0.476399116,,,,
100% Corpus,3,0.61,symmetric,0.420457819,,,,
100% Corpus,3,0.91,0.01,0.456968424,,,,
100% Corpus,3,0.91,0.31,0.471681449,,,,
100% Corpus,3,0.91,0.61,0.468025166,,,,
100% Corpus,3,0.91,0.91,0.477606723,,,,
100% Corpus,3,0.91,symmetric,0.471681449,,,,
100% Corpus,3,symmetric,0.01,0.439003327,,,,
100% Corpus,3,symmetric,0.31,0.425826235,,,,
100% Corpus,3,symmetric,0.61,0.435480886,,,,
100% Corpus,3,symmetric,0.91,0.425119887,,,,
100% Corpus,3,symmetric,symmetric,0.444095206,,,,
100% Corpus,3,asymmetric,0.01,0.490993688,,,,
100% Corpus,3,asymmetric,0.31,0.482340193,,,,
