,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.5051,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]"
1,1,2.0,0.8218,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(6, 1), (7, 1), (8, 1)]"
2,2,0.0,0.8276,"link, full, check, bike, bio, profile, video, race, build, detail","[(9, 1), (10, 1), (11, 1)]"
3,3,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
4,4,1.0,0.4905,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(12, 1), (13, 1), (14, 1), (15, 1)]"
5,5,0.0,0.5429,"link, full, check, bike, bio, profile, video, race, build, detail","[(16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1)]"
6,6,2.0,0.7183,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(7, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1)]"
7,7,0.0,0.4837,"link, full, check, bike, bio, profile, video, race, build, detail","[(1, 1), (24, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1)]"
8,8,0.0,0.5534,"link, full, check, bike, bio, profile, video, race, build, detail","[(38, 1), (39, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (47, 1)]"
9,9,2.0,0.8596,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(11, 1), (48, 1), (49, 1), (50, 1)]"
10,10,1.0,0.9101,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(7, 1), (14, 1), (36, 1), (46, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1)]"
11,11,2.0,0.6642,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(62, 1)]"
12,12,2.0,0.6628,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(63, 1)]"
