Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5836869442104163
75% Corpus,2,0.01,0.31,0.6965602799704098
75% Corpus,2,0.01,0.61,0.6943535671735424
75% Corpus,2,0.01,0.9099999999999999,0.6296903769873892
75% Corpus,2,0.01,symmetric,0.6260343082537272
75% Corpus,2,0.31,0.01,0.6997596716584398
75% Corpus,2,0.31,0.31,0.6970490412762729
75% Corpus,2,0.31,0.61,0.6813943576518762
75% Corpus,2,0.31,0.9099999999999999,0.6296987110086063
75% Corpus,2,0.31,symmetric,0.6994890223359166
75% Corpus,2,0.61,0.01,0.7070746867117945
75% Corpus,2,0.61,0.31,0.6230127736807829
75% Corpus,2,0.61,0.61,0.5913721496190548
75% Corpus,2,0.61,0.9099999999999999,0.5927388349293125
75% Corpus,2,0.61,symmetric,0.6232886076864009
75% Corpus,2,0.9099999999999999,0.01,0.6504711990756429
75% Corpus,2,0.9099999999999999,0.31,0.6383698155126816
75% Corpus,2,0.9099999999999999,0.61,0.6235412948503756
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.6389918147402154
75% Corpus,2,0.9099999999999999,symmetric,0.6338475360651235
75% Corpus,2,symmetric,0.01,0.6952699043170523
75% Corpus,2,symmetric,0.31,0.6689368403597625
75% Corpus,2,symmetric,0.61,0.7053823414056172
75% Corpus,2,symmetric,0.9099999999999999,0.6274866831628942
75% Corpus,2,symmetric,symmetric,0.620174300360745
75% Corpus,2,asymmetric,0.01,0.7180610530698471
75% Corpus,2,asymmetric,0.31,0.658883207987684
75% Corpus,2,asymmetric,0.61,0.6187772379340133
75% Corpus,2,asymmetric,0.9099999999999999,0.6334349259299221
75% Corpus,2,asymmetric,symmetric,0.652885437406975
75% Corpus,3,0.01,0.01,0.6689282462241364
75% Corpus,3,0.01,0.31,0.6604030951912413
75% Corpus,3,0.01,0.61,0.666530755031557
75% Corpus,3,0.01,0.9099999999999999,0.6352539160086905
75% Corpus,3,0.01,symmetric,0.6488322748949674
75% Corpus,3,0.31,0.01,0.6098786760687783
75% Corpus,3,0.31,0.31,0.6416466028260155
75% Corpus,3,0.31,0.61,0.6488354419526763
75% Corpus,3,0.31,0.9099999999999999,0.6108825284149287
75% Corpus,3,0.31,symmetric,0.6541555013674644
75% Corpus,3,0.61,0.01,0.6146224840077315
75% Corpus,3,0.61,0.31,0.6227238931738598
75% Corpus,3,0.61,0.61,0.6350567138748481
75% Corpus,3,0.61,0.9099999999999999,0.6150740582713167
75% Corpus,3,0.61,symmetric,0.6093383660411417
75% Corpus,3,0.9099999999999999,0.01,0.6411888817620063
75% Corpus,3,0.9099999999999999,0.31,0.6350755222267936
75% Corpus,3,0.9099999999999999,0.61,0.6416427576717384
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.685425413790102
75% Corpus,3,0.9099999999999999,symmetric,0.6180795018663003
75% Corpus,3,symmetric,0.01,0.6175601811788235
75% Corpus,3,symmetric,0.31,0.643509154403069
75% Corpus,3,symmetric,0.61,0.6302113735906407
75% Corpus,3,symmetric,0.9099999999999999,0.6644199667333689
75% Corpus,3,symmetric,symmetric,0.611658871494413
75% Corpus,3,asymmetric,0.01,0.6840826387907368
75% Corpus,3,asymmetric,0.31,0.6186415547689997
75% Corpus,3,asymmetric,0.61,0.6966183755464632
75% Corpus,3,asymmetric,0.9099999999999999,0.7192363440583508
75% Corpus,3,asymmetric,symmetric,0.6065000865469562
75% Corpus,4,0.01,0.01,0.5804778861414764
