Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,75% Corpus,,Topics,100% Corpus
75% Corpus,2,0.01,0.01,0.583686944,19.55971693,,2,0.651990564,,2,0.608799558
75% Corpus,2,0.01,0.31,0.69656028,0.651990564,,3,0.641867106,,3,0.619133948
75% Corpus,2,0.01,0.61,0.694353567,,,4,0.588297772,,4,0.579448111
75% Corpus,2,0.01,0.91,0.629690377,,,5,0.588368465,,5,0.584955747
75% Corpus,2,0.01,symmetric,0.626034308,,,6,0.580137106,,6,0.583208451
75% Corpus,2,0.31,0.01,0.699759672,,,7,0.553856221,,7,0.561792627
75% Corpus,2,0.31,0.31,0.697049041,,,8,0.550272265,,8,0.555169848
75% Corpus,2,0.31,0.61,0.681394358,,,9,0.538108646,,9,0.543204297
75% Corpus,2,0.31,0.91,0.629698711,,,10,0.546183818,,10,0.55552501
75% Corpus,2,0.31,symmetric,0.699489022,,,,,,,
75% Corpus,2,0.61,0.01,0.707074687,,,,,,,
75% Corpus,2,0.61,0.31,0.623012774,,,,,,,
75% Corpus,2,0.61,0.61,0.59137215,,,,,,,
75% Corpus,2,0.61,0.91,0.592738835,,,,,,,
75% Corpus,2,0.61,symmetric,0.623288608,,,,,,,
75% Corpus,2,0.91,0.01,0.650471199,,,,,,,
75% Corpus,2,0.91,0.31,0.638369816,,,,,,,
75% Corpus,2,0.91,0.61,0.623541295,,,,,,,
75% Corpus,2,0.91,0.91,0.638991815,,,,,,,
75% Corpus,2,0.91,symmetric,0.633847536,,,,,,,
75% Corpus,2,symmetric,0.01,0.695269904,,,,,,,
75% Corpus,2,symmetric,0.31,0.66893684,,,,,,,
75% Corpus,2,symmetric,0.61,0.705382341,,,,,,,
75% Corpus,2,symmetric,0.91,0.627486683,,,,,,,
75% Corpus,2,symmetric,symmetric,0.6201743,,,,,,,
75% Corpus,2,asymmetric,0.01,0.718061053,,,,,,,
75% Corpus,2,asymmetric,0.31,0.658883208,,,,,,,
75% Corpus,2,asymmetric,0.61,0.618777238,,,,,,,
75% Corpus,2,asymmetric,0.91,0.633434926,,,,,,,
75% Corpus,2,asymmetric,symmetric,0.652885437,,,,,,,
75% Corpus,3,0.01,0.01,0.668928246,19.25601318,,,,,,
75% Corpus,3,0.01,0.31,0.660403095,0.641867106,,,,,,
75% Corpus,3,0.01,0.61,0.666530755,,,,,,,
75% Corpus,3,0.01,0.91,0.635253916,,,,,,,
75% Corpus,3,0.01,symmetric,0.648832275,,,,,,,
75% Corpus,3,0.31,0.01,0.609878676,,,,,,,
75% Corpus,3,0.31,0.31,0.641646603,,,,,,,
75% Corpus,3,0.31,0.61,0.648835442,,,,,,,
75% Corpus,3,0.31,0.91,0.610882528,,,,,,,
75% Corpus,3,0.31,symmetric,0.654155501,,,,,,,
75% Corpus,3,0.61,0.01,0.614622484,,,,,,,
75% Corpus,3,0.61,0.31,0.622723893,,,,,,,
75% Corpus,3,0.61,0.61,0.635056714,,,,,,,
75% Corpus,3,0.61,0.91,0.615074058,,,,,,,
75% Corpus,3,0.61,symmetric,0.609338366,,,,,,,
75% Corpus,3,0.91,0.01,0.641188882,,,,,,,
75% Corpus,3,0.91,0.31,0.635075522,,,,,,,
75% Corpus,3,0.91,0.61,0.641642758,,,,,,,
75% Corpus,3,0.91,0.91,0.685425414,,,,,,,
75% Corpus,3,0.91,symmetric,0.618079502,,,,,,,
75% Corpus,3,symmetric,0.01,0.617560181,,,,,,,
75% Corpus,3,symmetric,0.31,0.643509154,,,,,,,
