,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.3993,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(0, 1), (1, 1), (2, 1), (3, 2), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1)]"
1,1,1.0,0.6156,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (31, 2), (32, 1), (33, 1), (34, 1)]"
2,2,1.0,0.7807,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (39, 1)]"
3,3,0.0,0.7777,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(3, 1), (9, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (47, 1), (48, 1), (49, 1)]"
4,4,1.0,0.8993,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1), (43, 1), (50, 1), (51, 1), (52, 1)]"
5,5,2.0,0.6423,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(9, 1), (29, 1), (30, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1)]"
6,6,1.0,0.6473,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(8, 1), (9, 1), (12, 1), (30, 1), (59, 1), (62, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 1)]"
7,7,2.0,0.5133,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(29, 1), (30, 1), (76, 1), (77, 1), (78, 1)]"
8,8,1.0,0.6023,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (36, 1), (79, 1), (80, 1), (81, 1), (82, 1), (83, 1), (84, 1), (85, 1), (86, 1), (87, 1)]"
9,9,0.0,0.8373,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(31, 1), (86, 1), (88, 1), (89, 1), (90, 1)]"
10,10,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
11,11,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
12,12,1.0,0.8665,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (30, 1), (91, 1), (92, 1)]"
13,13,1.0,0.9009,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (93, 1), (94, 1), (95, 1), (96, 1)]"
14,14,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
15,15,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
16,16,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
17,17,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
18,18,1.0,0.8239,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(29, 1), (30, 1), (97, 1)]"
19,19,1.0,0.8332,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (95, 1)]"
20,20,0.0,0.9092,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(65, 1), (86, 1), (98, 1), (99, 1), (100, 1), (101, 1), (102, 1)]"
21,21,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
22,22,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
23,23,1.0,0.8332,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1)]"
24,24,1.0,0.8332,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (95, 1)]"
25,25,2.0,0.5267,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(44, 1), (86, 1), (103, 1), (104, 1), (105, 1)]"
26,26,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
27,27,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
28,28,1.0,0.8332,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1)]"
29,29,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 2), (95, 1)]"
30,30,0.0,0.8065,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(26, 1), (106, 1), (107, 1)]"
31,31,1.0,0.7897,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1)]"
32,32,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
33,33,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
34,34,1.0,0.8332,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1)]"
35,35,1.0,0.7777,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (93, 1)]"
36,36,2.0,0.7486,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(8, 1), (114, 1), (115, 1), (116, 1)]"
37,37,0.0,0.9446,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 1), (62, 1), (65, 3), (111, 1), (115, 1), (117, 1), (118, 1), (119, 1), (120, 1), (121, 1)]"
38,38,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
39,39,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
