Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5468344818313662
75% Corpus,2,0.01,0.31,0.5250334085367766
75% Corpus,2,0.01,0.61,0.546834481831366
75% Corpus,2,0.01,0.9099999999999999,0.5258644831955827
75% Corpus,2,0.01,symmetric,0.5284722271857867
75% Corpus,2,0.31,0.01,0.5523998216166629
75% Corpus,2,0.31,0.31,0.5317132480653288
75% Corpus,2,0.31,0.61,0.5332337733258627
75% Corpus,2,0.31,0.9099999999999999,0.5256271386103814
75% Corpus,2,0.31,symmetric,0.5520527226000824
75% Corpus,2,0.61,0.01,0.5577790612551063
75% Corpus,2,0.61,0.31,0.5682343073903542
75% Corpus,2,0.61,0.61,0.5536643209387901
75% Corpus,2,0.61,0.9099999999999999,0.5720470747584735
75% Corpus,2,0.61,symmetric,0.5556516540937986
75% Corpus,2,0.9099999999999999,0.01,0.5392939055393277
75% Corpus,2,0.9099999999999999,0.31,0.5682343073903542
75% Corpus,2,0.9099999999999999,0.61,0.5520982020912956
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.541816762908711
75% Corpus,2,0.9099999999999999,symmetric,0.5791050266679292
75% Corpus,2,symmetric,0.01,0.5684976883996999
75% Corpus,2,symmetric,0.31,0.5418167629087108
75% Corpus,2,symmetric,0.61,0.5468132118239666
75% Corpus,2,symmetric,0.9099999999999999,0.5466619014424821
75% Corpus,2,symmetric,symmetric,0.5536643209387901
75% Corpus,2,asymmetric,0.01,0.5262621657315087
75% Corpus,2,asymmetric,0.31,0.4280798623777975
75% Corpus,2,asymmetric,0.61,0.43275497535331453
75% Corpus,2,asymmetric,0.9099999999999999,0.4322206463435437
75% Corpus,2,asymmetric,symmetric,0.4097874850727843
75% Corpus,3,0.01,0.01,0.5576777597315807
75% Corpus,3,0.01,0.31,0.5370724423890528
75% Corpus,3,0.01,0.61,0.5664098312120994
75% Corpus,3,0.01,0.9099999999999999,0.5490677429002017
75% Corpus,3,0.01,symmetric,0.5510450982809356
75% Corpus,3,0.31,0.01,0.5816491782959933
75% Corpus,3,0.31,0.31,0.5452071620143264
75% Corpus,3,0.31,0.61,0.538937506248629
75% Corpus,3,0.31,0.9099999999999999,0.540886262695185
75% Corpus,3,0.31,symmetric,0.5617441288253762
75% Corpus,3,0.61,0.01,0.55291249079459
75% Corpus,3,0.61,0.31,0.5685624136708859
75% Corpus,3,0.61,0.61,0.5056394598853077
75% Corpus,3,0.61,0.9099999999999999,0.5242011040065513
75% Corpus,3,0.61,symmetric,0.5544461281196781
75% Corpus,3,0.9099999999999999,0.01,0.5329240234280282
75% Corpus,3,0.9099999999999999,0.31,0.5111726080204291
75% Corpus,3,0.9099999999999999,0.61,0.5262547984561424
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5293124753896481
75% Corpus,3,0.9099999999999999,symmetric,0.49677829849907623
75% Corpus,3,symmetric,0.01,0.5607070091120349
75% Corpus,3,symmetric,0.31,0.5629010257705893
75% Corpus,3,symmetric,0.61,0.5382441570711128
75% Corpus,3,symmetric,0.9099999999999999,0.5642514487088768
75% Corpus,3,symmetric,symmetric,0.5603283574708057
75% Corpus,3,asymmetric,0.01,0.5236782724380082
75% Corpus,3,asymmetric,0.31,0.5396421092801829
75% Corpus,3,asymmetric,0.61,0.36784276788446596
75% Corpus,3,asymmetric,0.9099999999999999,0.42739987518545924
75% Corpus,3,asymmetric,symmetric,0.5630666279877397
75% Corpus,4,0.01,0.01,0.5438077291825316
75% Corpus,4,0.01,0.31,0.5454755743639748
75% Corpus,4,0.01,0.61,0.5544267932310601
75% Corpus,4,0.01,0.9099999999999999,0.5496164317911577
75% Corpus,4,0.01,symmetric,0.5479217399171119
75% Corpus,4,0.31,0.01,0.5563312265610634
75% Corpus,4,0.31,0.31,0.5440454241865165
75% Corpus,4,0.31,0.61,0.5692744429149921
75% Corpus,4,0.31,0.9099999999999999,0.5631589357308898
75% Corpus,4,0.31,symmetric,0.5447499134382623
75% Corpus,4,0.61,0.01,0.5588134033525263
75% Corpus,4,0.61,0.31,0.5249620637623744
