Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,2,0.01,0.01,0.498762198,15.05245713,,,
100% Corpus,2,0.01,0.31,0.488680966,0.501748571,,,
100% Corpus,2,0.01,0.61,0.517204154,,,topics,score
100% Corpus,2,0.01,0.91,0.553365216,,,2,0.501748571
100% Corpus,2,0.01,symmetric,0.49316724,,,3,0.552813616
100% Corpus,2,0.31,0.01,0.490492832,,,4,0.557239168
100% Corpus,2,0.31,0.31,0.52634295,,,5,0.530665524
100% Corpus,2,0.31,0.61,0.516236703,,,6,0.513198489
100% Corpus,2,0.31,0.91,0.530731615,,,7,0.499082984
100% Corpus,2,0.31,symmetric,0.547598159,,,8,0.488555073
100% Corpus,2,0.61,0.01,0.507263714,,,9,0.48956375
100% Corpus,2,0.61,0.31,0.508684361,,,10,0.483617813
100% Corpus,2,0.61,0.61,0.512985534,,,,
100% Corpus,2,0.61,0.91,0.508220162,,,,
100% Corpus,2,0.61,symmetric,0.506037181,,,,
100% Corpus,2,0.91,0.01,0.470494051,,,,
100% Corpus,2,0.91,0.31,0.521851135,,,,
100% Corpus,2,0.91,0.61,0.499822395,,,,
100% Corpus,2,0.91,0.91,0.522064089,,,,
100% Corpus,2,0.91,symmetric,0.550836162,,,,
100% Corpus,2,symmetric,0.01,0.507054325,,,,
100% Corpus,2,symmetric,0.31,0.541230126,,,,
100% Corpus,2,symmetric,0.61,0.498511904,,,,
100% Corpus,2,symmetric,0.91,0.50384341,,,,
100% Corpus,2,symmetric,symmetric,0.499762641,,,,
100% Corpus,2,asymmetric,0.01,0.529956528,,,,
100% Corpus,2,asymmetric,0.31,0.415621272,,,,
100% Corpus,2,asymmetric,0.61,0.423772487,,,,
100% Corpus,2,asymmetric,0.91,0.423900312,,,,
100% Corpus,2,asymmetric,symmetric,0.437963313,,,,
100% Corpus,3,0.01,0.01,0.541962461,16.58440848,,,
100% Corpus,3,0.01,0.31,0.574595558,0.552813616,,,
100% Corpus,3,0.01,0.61,0.577372277,,,,
100% Corpus,3,0.01,0.91,0.562914715,,,,
100% Corpus,3,0.01,symmetric,0.589175232,,,,
100% Corpus,3,0.31,0.01,0.580865679,,,,
100% Corpus,3,0.31,0.31,0.565365784,,,,
100% Corpus,3,0.31,0.61,0.557320731,,,,
100% Corpus,3,0.31,0.91,0.562210566,,,,
100% Corpus,3,0.31,symmetric,0.571110789,,,,
100% Corpus,3,0.61,0.01,0.540936279,,,,
100% Corpus,3,0.61,0.31,0.557887662,,,,
100% Corpus,3,0.61,0.61,0.562963259,,,,
100% Corpus,3,0.61,0.91,0.571508239,,,,
100% Corpus,3,0.61,symmetric,0.56665348,,,,
100% Corpus,3,0.91,0.01,0.566870957,,,,
100% Corpus,3,0.91,0.31,0.541985013,,,,
100% Corpus,3,0.91,0.61,0.54845026,,,,
100% Corpus,3,0.91,0.91,0.533965111,,,,
100% Corpus,3,0.91,symmetric,0.542370154,,,,
100% Corpus,3,symmetric,0.01,0.581738702,,,,
100% Corpus,3,symmetric,0.31,0.563619729,,,,
100% Corpus,3,symmetric,0.61,0.568765634,,,,
100% Corpus,3,symmetric,0.91,0.565419368,,,,
100% Corpus,3,symmetric,symmetric,0.570142995,,,,
100% Corpus,3,asymmetric,0.01,0.552115259,,,,
100% Corpus,3,asymmetric,0.31,0.593814167,,,,
100% Corpus,3,asymmetric,0.61,0.384865756,,,,
100% Corpus,3,asymmetric,0.91,0.410329005,,,,
100% Corpus,3,asymmetric,symmetric,0.577113661,,,,
100% Corpus,4,0.01,0.01,0.535115408,16.71717504,,,
100% Corpus,4,0.01,0.31,0.559042688,0.557239168,,,
100% Corpus,4,0.01,0.61,0.584171664,,,,
100% Corpus,4,0.01,0.91,0.555718027,k = 4 ,,,
100% Corpus,4,0.01,symmetric,0.58047432,0.589976623,,,
100% Corpus,4,0.31,0.01,0.561424938,,,,
100% Corpus,4,0.31,0.31,0.567655129,,,,
100% Corpus,4,0.31,0.61,0.573108263,,,,
100% Corpus,4,0.31,0.91,0.578862753,,,,
100% Corpus,4,0.31,symmetric,0.564191055,,,,
100% Corpus,4,0.61,0.01,0.55974327,,,,
100% Corpus,4,0.61,0.31,0.579277432,,,,
100% Corpus,4,0.61,0.61,0.578597424,,,,
100% Corpus,4,0.61,0.91,0.548608297,,,,
100% Corpus,4,0.61,symmetric,0.558110306,,,,
100% Corpus,4,0.91,0.01,0.540942572,,,,
100% Corpus,4,0.91,0.31,0.575456085,,,,
100% Corpus,4,0.91,0.61,0.567831736,,,,
100% Corpus,4,0.91,0.91,0.570572352,,,,
100% Corpus,4,0.91,symmetric,0.516843966,,,,
100% Corpus,4,symmetric,0.01,0.563588558,,,,
100% Corpus,4,symmetric,0.31,0.589976623,Alpha,,,
100% Corpus,4,symmetric,0.61,0.56108521,symmetric,,,
100% Corpus,4,symmetric,0.91,0.588520004,,,,
100% Corpus,4,symmetric,symmetric,0.581759113,Beta,,,
100% Corpus,4,asymmetric,0.01,0.517028073,0.61,,,
100% Corpus,4,asymmetric,0.31,0.572096485,,,,
100% Corpus,4,asymmetric,0.61,0.539848185,,,,
