Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5070702867269549
75% Corpus,2,0.01,0.31,0.5127602174801202
75% Corpus,2,0.01,0.61,0.47568533370806876
75% Corpus,2,0.01,0.9099999999999999,0.4856332505461538
75% Corpus,2,0.01,symmetric,0.47568533370806876
75% Corpus,2,0.31,0.01,0.4847528020752273
75% Corpus,2,0.31,0.31,0.4778233810197499
75% Corpus,2,0.31,0.61,0.48776351584197114
75% Corpus,2,0.31,0.9099999999999999,0.5114833514964567
75% Corpus,2,0.31,symmetric,0.48748079709435876
75% Corpus,2,0.61,0.01,0.47570782813496626
75% Corpus,2,0.61,0.31,0.47488668668887446
75% Corpus,2,0.61,0.61,0.4930683334720266
75% Corpus,2,0.61,0.9099999999999999,0.5547678527852924
75% Corpus,2,0.61,symmetric,0.5016986595522193
75% Corpus,2,0.9099999999999999,0.01,0.5352803408836325
75% Corpus,2,0.9099999999999999,0.31,0.48402465331931555
75% Corpus,2,0.9099999999999999,0.61,0.5060211986882264
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5039763088749663
75% Corpus,2,0.9099999999999999,symmetric,0.4864013092519761
75% Corpus,2,symmetric,0.01,0.5096460719285028
75% Corpus,2,symmetric,0.31,0.49483915238378995
75% Corpus,2,symmetric,0.61,0.47257015518050016
75% Corpus,2,symmetric,0.9099999999999999,0.474702059030747
75% Corpus,2,symmetric,symmetric,0.47488668668887446
75% Corpus,2,asymmetric,0.01,0.47600483670358074
75% Corpus,2,asymmetric,0.31,0.4840915412138325
75% Corpus,2,asymmetric,0.61,0.4847826093949027
75% Corpus,2,asymmetric,0.9099999999999999,0.46529315358374845
75% Corpus,2,asymmetric,symmetric,0.4705423731506996
75% Corpus,3,0.01,0.01,0.5281582549497054
75% Corpus,3,0.01,0.31,0.5509393811293936
75% Corpus,3,0.01,0.61,0.5669132282754594
75% Corpus,3,0.01,0.9099999999999999,0.5460312594143054
75% Corpus,3,0.01,symmetric,0.5301557661662444
75% Corpus,3,0.31,0.01,0.5146420205249366
75% Corpus,3,0.31,0.31,0.540088207130543
75% Corpus,3,0.31,0.61,0.5596279904019353
75% Corpus,3,0.31,0.9099999999999999,0.5338705976578472
75% Corpus,3,0.31,symmetric,0.5819376388804723
75% Corpus,3,0.61,0.01,0.522384440239497
75% Corpus,3,0.61,0.31,0.5189002250637209
75% Corpus,3,0.61,0.61,0.5110441612016495
75% Corpus,3,0.61,0.9099999999999999,0.5194700259188644
75% Corpus,3,0.61,symmetric,0.5096355224395128
75% Corpus,3,0.9099999999999999,0.01,0.5660379128086364
75% Corpus,3,0.9099999999999999,0.31,0.5045253828077506
75% Corpus,3,0.9099999999999999,0.61,0.5129312721728584
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5170175903768494
75% Corpus,3,0.9099999999999999,symmetric,0.5129312721728584
75% Corpus,3,symmetric,0.01,0.5231955972253753
75% Corpus,3,symmetric,0.31,0.5223500829497412
75% Corpus,3,symmetric,0.61,0.5534273360223353
75% Corpus,3,symmetric,0.9099999999999999,0.5356801059863933
75% Corpus,3,symmetric,symmetric,0.514666684725543
75% Corpus,3,asymmetric,0.01,0.5236505435840579
75% Corpus,3,asymmetric,0.31,0.5439603524670734
75% Corpus,3,asymmetric,0.61,0.4345790421318861
75% Corpus,3,asymmetric,0.9099999999999999,0.39499645309044795
75% Corpus,3,asymmetric,symmetric,0.5024046225621398
75% Corpus,4,0.01,0.01,0.5776692465249154
75% Corpus,4,0.01,0.31,0.5755307177878953
75% Corpus,4,0.01,0.61,0.5782012764709359
75% Corpus,4,0.01,0.9099999999999999,0.5754128915621044
75% Corpus,4,0.01,symmetric,0.5769531282614235
75% Corpus,4,0.31,0.01,0.5487467844573797
75% Corpus,4,0.31,0.31,0.5703017071271852
75% Corpus,4,0.31,0.61,0.5797331550918605
75% Corpus,4,0.31,0.9099999999999999,0.5535335362648128
75% Corpus,4,0.31,symmetric,0.5786580501888977
75% Corpus,4,0.61,0.01,0.5875098633308942
75% Corpus,4,0.61,0.31,0.5699652879695598
75% Corpus,4,0.61,0.61,0.5853511392389
75% Corpus,4,0.61,0.9099999999999999,0.5649184337285829
75% Corpus,4,0.61,symmetric,0.5719685816848397
75% Corpus,4,0.9099999999999999,0.01,0.5643167232197294
75% Corpus,4,0.9099999999999999,0.31,0.5213917093132392
75% Corpus,4,0.9099999999999999,0.61,0.5077274622089001
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5303862647483167
75% Corpus,4,0.9099999999999999,symmetric,0.5240272488885532
75% Corpus,4,symmetric,0.01,0.5721181143282326
75% Corpus,4,symmetric,0.31,0.5805745703219277
75% Corpus,4,symmetric,0.61,0.5707244876100647
75% Corpus,4,symmetric,0.9099999999999999,0.5592452686499436
75% Corpus,4,symmetric,symmetric,0.5740994007588656
75% Corpus,4,asymmetric,0.01,0.6326130701728738
75% Corpus,4,asymmetric,0.31,0.5100841857465797
75% Corpus,4,asymmetric,0.61,0.42617854960064194
75% Corpus,4,asymmetric,0.9099999999999999,0.45352229738623745
75% Corpus,4,asymmetric,symmetric,0.5804154817590432
75% Corpus,5,0.01,0.01,0.5710013173132953
75% Corpus,5,0.01,0.31,0.5652176523112121
75% Corpus,5,0.01,0.61,0.5935039101920677
75% Corpus,5,0.01,0.9099999999999999,0.5981973551491454
75% Corpus,5,0.01,symmetric,0.5776842707770868
75% Corpus,5,0.31,0.01,0.5862729252463634
75% Corpus,5,0.31,0.31,0.5864815098344012
75% Corpus,5,0.31,0.61,0.5608664648328803
75% Corpus,5,0.31,0.9099999999999999,0.5908845043607964
75% Corpus,5,0.31,symmetric,0.5852838964433755
75% Corpus,5,0.61,0.01,0.5751125334132722
75% Corpus,5,0.61,0.31,0.5465733428904376
75% Corpus,5,0.61,0.61,0.5641903707685886
75% Corpus,5,0.61,0.9099999999999999,0.5645780091295615
75% Corpus,5,0.61,symmetric,0.5626402760514411
75% Corpus,5,0.9099999999999999,0.01,0.5630069287134097
75% Corpus,5,0.9099999999999999,0.31,0.5568897252223548
75% Corpus,5,0.9099999999999999,0.61,0.5589466116073873
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5679866814253035
75% Corpus,5,0.9099999999999999,symmetric,0.534367611417811
75% Corpus,5,symmetric,0.01,0.5662825635266296
75% Corpus,5,symmetric,0.31,0.5875840491736966
75% Corpus,5,symmetric,0.61,0.5926179746455201
75% Corpus,5,symmetric,0.9099999999999999,0.5759642431184527
75% Corpus,5,symmetric,symmetric,0.5737993725131909
75% Corpus,5,asymmetric,0.01,0.5919390096830204
75% Corpus,5,asymmetric,0.31,0.5578806584510358
75% Corpus,5,asymmetric,0.61,0.46192999604509133
75% Corpus,5,asymmetric,0.9099999999999999,0.40751594051226697
75% Corpus,5,asymmetric,symmetric,0.6044153169291699
75% Corpus,6,0.01,0.01,0.5663335981487366
75% Corpus,6,0.01,0.31,0.5666049796205079
75% Corpus,6,0.01,0.61,0.570996911175845
75% Corpus,6,0.01,0.9099999999999999,0.5773728862346086
75% Corpus,6,0.01,symmetric,0.5722412589876263
75% Corpus,6,0.31,0.01,0.5738836711686018
75% Corpus,6,0.31,0.31,0.5603427679799983
75% Corpus,6,0.31,0.61,0.564347366497057
75% Corpus,6,0.31,0.9099999999999999,0.555873714181414
75% Corpus,6,0.31,symmetric,0.5638035962786675
75% Corpus,6,0.61,0.01,0.5878014202996279
75% Corpus,6,0.61,0.31,0.583692343898283
75% Corpus,6,0.61,0.61,0.6053078880461896
75% Corpus,6,0.61,0.9099999999999999,0.6018428476272007
75% Corpus,6,0.61,symmetric,0.5890317122354961
75% Corpus,6,0.9099999999999999,0.01,0.5753671298150723
75% Corpus,6,0.9099999999999999,0.31,0.5426531090732752
75% Corpus,6,0.9099999999999999,0.61,0.5623193288736215
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5560194245262294
75% Corpus,6,0.9099999999999999,symmetric,0.5565692577631641
75% Corpus,6,symmetric,0.01,0.5593006957927498
75% Corpus,6,symmetric,0.31,0.5638477836853981
75% Corpus,6,symmetric,0.61,0.5862393141148984
75% Corpus,6,symmetric,0.9099999999999999,0.5678990098018136
75% Corpus,6,symmetric,symmetric,0.574962100663079
75% Corpus,6,asymmetric,0.01,0.612985941895687
75% Corpus,6,asymmetric,0.31,0.548454675361916
75% Corpus,6,asymmetric,0.61,0.4431642454469602
75% Corpus,6,asymmetric,0.9099999999999999,0.45945950093057464
75% Corpus,6,asymmetric,symmetric,0.557832599279984
75% Corpus,7,0.01,0.01,0.5615425523019892
75% Corpus,7,0.01,0.31,0.5644767007814783
